date,actual,predicted
2022-08-06,215178.42857142855,195928.5
2022-08-07,215261.2857142857,194615.17
2022-08-08,215462.42857142855,193509.86
2022-08-09,206180.42857142855,192396.88
2022-08-10,199917.85714285716,189921.62
2022-08-11,195906.42857142855,185901.27
2022-08-12,196005.57142857145,180793.22
2022-08-13,189386.0,175570.9
2022-08-14,186682.14285714287,169954.88
2022-08-15,188878.7142857143,164489.19
2022-08-16,202061.7142857143,160273.02
2022-08-17,211997.42857142855,159039.39
2022-08-18,218827.0,161600.64
2022-08-19,219176.2857142857,167901.22
2022-08-20,225222.2857142857,176227.08
2022-08-21,226955.0,185355.16
2022-08-22,222006.7142857143,194400.33
2022-08-23,212198.7142857143,200988.31
2022-08-24,201751.2857142857,203445.38
2022-08-25,191981.0,200386.73
2022-08-26,185539.42857142855,193077.98
2022-08-27,177558.14285714287,182972.0
2022-08-28,166989.2857142857,171463.39
2022-08-29,156844.85714285713,159000.92
2022-08-30,147964.7142857143,146372.25
2022-08-31,139829.2857142857,134284.17
2022-09-01,132695.42857142858,123584.29
2022-09-02,128714.42857142858,114398.05
2022-09-03,122937.14285714286,106905.0
2022-09-04,117262.00000000001,100800.34
2022-09-05,111906.14285714286,96051.68
2022-09-06,107514.28571428572,92339.83
2022-09-07,103169.57142857143,89344.17
2022-09-08,99408.28571428572,86830.9
2022-09-09,97247.42857142857,84662.58
2022-09-10,93737.0,82852.17
2022-09-11,89515.14285714286,81360.72
2022-09-12,85735.0,79841.27
2022-09-13,82380.28571428571,78081.78
2022-09-14,79273.42857142857,76128.52
2022-09-15,76781.42857142857,74046.16
2022-09-16,74667.28571428571,71908.65
2022-09-17,66689.14285714286,69824.01
2022-09-18,62344.00000000001,67282.84
2022-09-19,61128.14285714285,64189.25
2022-09-20,59397.0,60962.938
2022-09-21,54863.0,57888.24
2022-09-22,52393.857142857145,54839.76
2022-09-23,53178.71428571428,51907.184
2022-09-24,54891.42857142857,49501.684
2022-09-25,52058.0,47954.113
2022-09-26,47029.42857142857,46945.145
2022-09-27,43144.857142857145,45997.277
2022-09-28,42628.42857142857,44877.75
2022-09-29,40135.57142857143,43671.22
2022-09-30,36083.57142857143,42227.2
2022-10-01,35514.0,40378.617
2022-10-02,34282.42857142857,38418.34
2022-10-03,33034.857142857145,36202.69
2022-10-04,32005.857142857145,33957.78
2022-10-05,30746.857142857138,31917.871
2022-10-06,29816.000000000004,30296.717
2022-10-07,29511.85714285714,28965.523
2022-10-08,25711.85714285714,27992.846
2022-10-09,26304.285714285717,27119.414
2022-10-10,28054.285714285717,26468.88
2022-10-11,29077.42857142857,26120.65
2022-10-12,30270.714285714283,26088.121
2022-10-13,31251.571428571428,26459.76
2022-10-14,31585.000000000004,27336.875
2022-10-15,35752.28571428572,28571.19
2022-10-16,35473.71428571428,30397.453
2022-10-17,34105.142857142855,32559.404
2022-10-18,33389.142857142855,34558.44
2022-10-19,33251.28571428572,36149.457
2022-10-20,33424.28571428572,37246.97
2022-10-21,33635.71428571428,37749.75
2022-10-22,34408.857142857145,37789.7
2022-10-23,35371.57142857143,37613.805
2022-10-24,36318.28571428572,37269.293
2022-10-25,37412.71428571428,37121.938
2022-10-26,38891.28571428572,37231.73
2022-10-27,40282.42857142857,37820.82
2022-10-28,41066.57142857143,38882.18
2022-10-29,43577.142857142855,40208.42
2022-10-30,46448.857142857145,41842.316
2022-10-31,49982.57142857143,44016.27
2022-11-01,49241.142857142855,46595.11
2022-11-02,53476.42857142857,49061.203
2022-11-03,57160.142857142855,51704.2
2022-11-04,58486.0,54641.234
2022-11-05,60789.0,57641.07
2022-11-06,63219.57142857143,60585.62
2022-11-07,64805.857142857145,63455.746
2022-11-08,70524.28571428571,66114.69
2022-11-09,71283.71428571429,68886.87
2022-11-10,71640.42857142857,71539.71
2022-11-11,72488.0,73892.63
2022-11-12,75120.14285714286,75739.13
2022-11-13,78019.0,77246.9
2022-11-14,79880.28571428571,78721.195
2022-11-15,81549.0,80187.52
2022-11-16,83034.85714285714,81636.375
2022-11-17,84296.0,82946.86
2022-11-18,84991.57142857143,84235.53
2022-11-19,88050.14285714286,85545.4
2022-11-20,91715.71428571428,86931.305
2022-11-21,87216.0,88551.35
2022-11-22,91796.85714285714,89553.86
2022-11-23,96859.71428571428,90516.305
2022-11-24,99824.57142857143,92082.61
2022-11-25,100780.71428571428,94082.516
2022-11-26,102760.71428571428,96231.77
2022-11-27,103480.0,98486.73
2022-11-28,111779.0,100670.445
2022-11-29,110648.71428571428,103546.89
2022-11-30,108400.71428571428,106377.945
2022-12-01,107127.85714285714,108439.75
2022-12-02,106914.14285714286,109494.07
2022-12-03,107225.71428571428,109577.945
2022-12-04,108795.28571428572,108983.13
2022-12-05,110918.71428571428,108055.25
2022-12-06,113370.42857142857,107244.94
2022-12-07,117109.00000000001,106823.3
2022-12-08,121338.71428571428,107280.21
2022-12-09,123440.85714285713,109039.69
2022-12-10,129114.71428571428,111784.26
2022-12-11,135003.85714285713,115447.24
2022-12-12,140064.7142857143,120072.7
2022-12-13,143852.14285714287,125360.14
2022-12-14,147083.85714285713,131158.02
2022-12-15,149521.42857142858,136564.6
2022-12-16,150747.85714285713,141289.97
2022-12-17,152187.2857142857,144956.7
2022-12-18,154521.0,147502.17
2022-12-19,156790.14285714287,149199.19
2022-12-20,159609.2857142857,150361.9
2022-12-21,162357.7142857143,151227.44
2022-12-22,164276.0,152121.1
2022-12-23,165181.0,153105.97
2022-12-24,167648.57142857142,154141.02
2022-12-25,168973.7142857143,155247.9
2022-12-26,170072.0,156429.77
2022-12-27,166564.57142857142,157549.38
2022-12-28,156542.14285714287,157871.06
2022-12-29,147579.14285714287,156150.62
2022-12-30,147437.42857142858,151997.84
2022-12-31,131374.7142857143,146538.8
2023-01-01,115386.85714285716,138913.89
2023-01-02,120364.14285714287,128506.74
2023-01-03,134186.7142857143,118336.79
2023-01-04,152928.0,110965.125
2023-01-05,167730.0,108924.5
2023-01-06,170450.57142857142,112420.664
2023-01-07,168604.57142857142,120456.555
2023-01-08,182114.42857142855,131301.8
2023-01-09,176195.57142857142,144219.78
2023-01-10,161700.57142857142,156466.84
2023-01-11,146474.42857142858,164675.97
2023-01-12,134723.42857142858,165266.45
2023-01-13,128876.28571428574,158948.0
2023-01-14,135707.2857142857,147446.48
2023-01-15,125169.42857142857,136245.16
2023-01-16,112443.71428571428,125065.46
2023-01-17,103663.28571428572,113389.38
2023-01-18,96075.14285714286,102177.21
2023-01-19,89813.57142857143,92299.85
2023-01-20,86698.28571428571,84035.234
2023-01-21,81984.28571428571,77527.555
2023-01-22,75448.0,72210.93
2023-01-23,70232.71428571429,67440.695
2023-01-24,66132.28571428571,63518.75
2023-01-25,62679.142857142855,59755.418
2023-01-26,59861.85714285715,56397.137
2023-01-27,58269.714285714275,53349.63
2023-01-28,51600.71428571428,50735.957
2023-01-29,48198.28571428572,48325.016
2023-01-30,46114.57142857143,46479.598
2023-01-31,44116.42857142857,44429.516
2023-02-01,41802.0,42231.004
2023-02-02,40049.142857142855,40126.805
2023-02-03,39218.57142857143,38202.477
2023-02-04,38881.0,36567.844
2023-02-05,36887.71428571428,35376.35
2023-02-06,35126.28571428572,34465.285
2023-02-07,33510.71428571428,33614.426
2023-02-08,31909.285714285714,32847.59
2023-02-09,29235.14285714286,32124.809
2023-02-10,28351.0,31182.297
2023-02-11,26538.85714285714,30120.758
2023-02-12,24708.571428571428,28930.232
2023-02-13,23048.285714285717,27397.326
2023-02-14,21618.42857142857,25700.768
2023-02-15,20154.571428571428,23945.514
2023-02-16,20225.85714285714,22185.416
2023-02-17,19882.571428571428,20617.783
2023-02-18,18074.0,19328.102
2023-02-19,16628.571428571428,18235.117
2023-02-20,15749.428571428569,17290.227
2023-02-21,14021.714285714286,16415.176
2023-02-22,13696.285714285714,15522.405
2023-02-23,13433.42857142857,14670.077
2023-02-24,13192.0,13885.878
2023-02-25,12532.285714285714,13141.814
2023-02-26,11860.285714285714,12522.9795
2023-02-27,11333.57142857143,11965.67
2023-02-28,11906.42857142857,11459.789
2023-03-01,11275.714285714286,11099.615
2023-03-02,10751.714285714286,10855.227
2023-03-03,10599.285714285714,10684.956
2023-03-04,10224.142857142857,10629.175
2023-03-05,9917.714285714286,10600.081
2023-03-06,9678.857142857143,10506.226
