无隔离,轻度隔离,严格隔离
2.0,2.0,2.0
3.0183208849565495,2.8279023429673944,2.490387252296658
4.131637973023708,3.706537249697051,3.013709374356334
5.574233349165305,4.803983995816206,3.6319388012236504
7.503284682447605,6.215520751781924,4.374317347650235
10.096209181363717,8.03960799052939,5.267963379764866
13.584376581991966,10.398569603126694,6.34409051934909
18.27750686335152,13.449600539120512,7.640030822628873
24.591979256581116,17.395810545091614,9.20069629116799
33.08794802410547,22.499860179886902,11.080165047431121
44.51906855374884,29.101467418851787,13.343560171827702
59.89935771011377,37.64002152861093,16.06930750998035
80.59314021124396,48.68382735263466,19.351852691180145
108.43606259688698,62.96792897678848,23.304933537820563
145.8979105717156,81.44302660924627,28.065520839191183
196.301653682377,105.3387441325711,33.79856404039836
264.11814871725363,136.2454574908139,40.70270514889923
355.36260470623216,176.22011916037295,49.01716124416702
478.12793659197746,227.9231222746424,59.03001035952159
643.3022322187704,294.79529738209885,71.08817389760458
865.5337850356573,381.28679763997474,85.6094306371519
1164.5291138992766,493.15309589207993,103.09688878235158
1566.7983979119383,637.8376901651816,124.15641099971035
2108.0023948976946,824.966943330511,149.51759542555254
2836.1072026883035,1066.989807009824,180.0590415881557
3815.623579608897,1380.0047262974049,216.83876881628572
5133.301242040412,1784.8283432236926,261.130841826041
6905.773020526064,2308.376329192615,314.46947096267223
9289.808411269667,2985.44702462644,378.70209431574204
12496.052594769106,3861.0244965463467,456.05329418998116
16807.40920598572,4993.250597358811,549.2017243134826
22603.58810050882,6457.25847869293,661.3726893223653
30393.799382649762,8350.111265578085,796.4496117841447
40860.13911232638,10797.161701657158,959.1081234652938
54914.87671242034,13960.222407054654,1154.9773172873372
73775.59148811232,18048.051870500774,1390.8339878065447
99062.77741174914,23329.771890196895,1674.8358905726188
132924.96342826117,30151.985270851786,2016.8023993331715
178196.0592116588,38960.52063378117,2428.551787099853
238587.71277380065,50327.90307895952,2924.306387333927
318914.4620883012,64987.798003714,3521.1791475305517
425338.8605091793,83877.77218337852,4239.757598612563
565604.0081941189,108191.65435636893,5104.803951101729
749186.9650111499,139442.43895341142,6146.09418057608
