date,S,E,I,Q,R,predicted_new
2020-01-25,125999995.0,3.0,2.0,0.0,0.0,3.149999875
2020-01-26,125999991.37690099,3.655329754833312,2.738346459280289,0.3401585605569685,1.889264194243186,4.109409921790337
2020-01-27,125999986.72310899,4.6098714017281495,3.515181106027558,0.7534630707410003,4.398375393644433,5.238104574252066
2020-01-28,125999980.8050318,5.84564628447703,4.469721749782063,1.2502119053043044,7.629388202588947,6.65328938924949
2020-01-29,125999973.29078859,7.41902331332026,5.675169197895352,1.8533394029901031,11.761679471749394,8.446210978689756
2020-01-30,125999963.75215101,9.417125236535787,7.20408715930112,2.593676865761488,17.032959709840853,10.721381715469754
2020-01-31,125999951.64417961,11.953602908182525,9.144582391028495,3.51049946648489,23.747135590575223,13.609240237701203
2020-02-01,125999936.27488619,15.173321000622897,11.607706302461306,4.653508828380098,32.290577630252166,17.274921385615418
2020-02-02,125999916.76584259,19.260281646468695,14.734267200368066,6.085601102664942,43.15400739342196,21.927952735878083
2020-02-03,125999892.00200555,24.44807091923944,18.702969559378502,7.88642849697161,56.960525420453635,27.834280659566137
2020-02-04,125999860.56799372,31.03319513212146,23.74064555717571,10.156927957060677,74.50123759178192,35.33147971294016
2020-02-05,125999820.66719541,39.3920240420081,30.135222495772165,13.02506982629699,96.78048819601335,44.8480472338483
2020-02-06,125999770.01908764,50.00229997835334,38.252179232841364,16.653153658361013,125.07327944290228,56.927892392256496
2020-02-07,125999705.72889893,63.47044085876944,48.55543359460535,21.24706784094245,160.99815874137573,72.26141985573989
2020-02-08,125999624.12217,80.56619589141394,61.633854693041364,27.068041774296873,206.6097375969372,91.72498374399495
2020-02-09,125999520.53476156,102.26663245276147,78.23491607840886,34.44756179975733,264.5161280598221,116.43096602023671
2020-02-10,125999389.04630242,129.81197078366148,99.30740979576848,43.806303874241465,338.0280130801017,147.79133904897515
2020-02-11,125999222.14186527,164.77644893190907,126.05566350184782,55.67816320287033,431.347859068315,187.59834102978007
2020-02-12,125999010.28253776,209.15826837696414,160.0083533848636,70.7407542878151,549.8100861538095,238.12686833846294
2020-02-13,125998741.36036234,265.49375175796354,203.10584635811017,89.85412328410976,700.1859162408531,302.2644306023211
2020-02-14,125998400.00652492,337.0022288186558,257.81105139471487,114.1098835902774,891.0703112646786,383.67607710446964
2020-02-15,125997966.71337298,427.7698963781344,327.25009687912797,144.893574881063,1133.3730588926687,487.013681399586
2020-02-16,125997416.71994662,542.9831781988324,415.39088879722095,183.96382055544154,1440.9421658265253,618.1815557512294
2020-02-17,125996718.59783635,689.2247954095445,527.2696659025257,233.55277338958052,1831.354928936651,784.6734215630685
2020-02-18,125995832.45645492,874.8494570907602,669.2784994438936,296.493599708461,2326.921988828593,995.9999606625312
2020-02-19,125994707.66552204,1110.4605133480773,849.5300884239415,376.3822666417401,2955.961609529703,1264.2312072909847
2020-02-20,125993279.96550666,1409.5145395828733,1078.320519990248,477.78282229042685,3754.41661144895,1604.68442263029
2020-02-21,125991467.80141869,1789.0881724198105,1368.716282913347,606.4878771581531,4767.906248788795,2036.7963994472802
2020-02-22,125989167.67220184,2270.850408559996,1737.298751699277,769.8490650946322,6054.329572795617,2585.229286898742
2020-02-23,125986248.23232017,2882.2951515667905,2205.108075226421,977.1962408111701,7687.168212206803,3281.2719254758786
2020-02-24,125982542.81241503,3658.3030029902466,2798.8396362495896,1240.3691369075407,9759.675808809,4164.614940331434
2020-02-25,125977839.93789299,4643.119404345542,3552.359985436551,1574.3915103528357,12390.191206863441,5285.597958669183
2020-02-26,125971871.31422392,5892.8585141479925,4508.626594337742,1998.3256894053636,15728.874978172182,6708.052402531368
2020-02-27,125964296.60911281,7478.67012717116,5722.117441604744,2536.355393244252,19966.247925149728,8512.894355120197
2020-02-28,125954684.18582317,9490.741937409288,7261.903829238101,3219.1573718234886,25344.011038337696,10802.66075076623
2020-02-29,125942486.735541,12043.349758212156,9215.531609757802,4085.6373632494674,32168.745727761172,13707.226257931705
2020-03-01,125927010.47932227,15281.221649629142,11693.91836163666,5185.126038167833,40829.25462827315,17390.996139107192
2020-03-02,125907376.29346175,19387.540687269226,14837.521446480167,6580.153849628445,51818.49055485865,22061.932759876363
2020-03-03,125882470.71583405,24593.981936852342,18824.090163798224,8349.95304862309,65761.25901665639,27982.847030516667
2020-03-04,125850884.31885165,31193.259055572074,23878.381692618234,10594.870613454674,83449.16978666365,35485.46478988906
2020-03-05,125810834.38618037,39554.73895835772,30284.2963703381,13441.917742543705,105884.66074838329,44987.85679492771
2020-03-06,125760068.20794936,50143.76646553703,38399.96270135287,17051.730840153898,134336.3320435873,57015.88338542542
2020-03-07,125695742.63939418,63545.40132525772,48676.379266072705,21627.273859394525,170408.30615508003,72229.33461638661
2020-03-08,125614274.91264747,80493.28834517396,61680.267795591106,27424.670587297605,216126.8606244563,91453.39386405672
2020-03-09,125511159.10174462,101904.31263246751,78121.80147438744,34766.615964899895,274048.1681836006,115715.87180107519
2020-03-10,125380742.47372806,128919.4372747988,98887.76639999464,44058.85566385337,347391.46693326574,146290.20682289035
2020-03-11,125215956.22261661,162950.6140108299,125080.4624140221,55810.24813222141,440202.4528262972,184743.41557966516
