date,S,E,I,R,predicted_new
2020-01-25,125999995.0,3.0,2.0,0.0,1.7999999285714285
2020-01-26,125999992.86686027,2.6517470361303803,2.613824133545489,1.867568559380281,2.352441587013992
2020-01-27,125999990.39625669,2.717527130959633,2.855628672429363,4.030587520606344,2.570065609295536
2020-01-28,125999987.74197757,2.8630901275343845,3.040517455287959,6.354414861444363,2.7364654435396543
2020-01-29,125999984.92344168,3.030550301080324,3.2239586064899517,8.82204943139295,2.9015623986538137
2020-01-30,125999981.93617633,3.210279618205985,3.4161369870774947,11.43740707416356,3.0745228475947726
2020-01-31,125999978.77107185,3.4011001354453767,3.619364664759338,14.208463351410913,3.257427649460315
2020-02-01,125999975.41771398,3.603338524271957,3.8346115071343245,17.144335982865957,3.451149683110058
2020-02-02,125999971.86493607,3.817615662741671,4.062646846991702,20.25480142803943,3.6563813458437546
2020-02-03,125999968.10088415,4.044637304953229,4.304240702948413,23.550237857007225,3.8738156519287665
2020-02-04,125999964.11299528,4.285159553769248,4.560201008003753,27.0416441485936,4.104179738260841
2020-02-05,125999959.88795877,4.5399849325579105,4.8313823748658775,30.740673908297026,4.3482427531177965
2020-02-06,125999955.41167228,4.809963938984609,5.118689991785949,34.65967379417325,4.606819362365734
2020-02-07,125999950.66919485,5.0959976841145345,5.423082833036753,38.81172465565116,4.880772638839917
2020-02-08,125999945.64469638,5.39904092110211,5.745576922768669,43.2106857878135,5.171016999759102
2020-02-09,125999940.32140805,5.720105016415346,6.087248545933088,47.87123840947045,5.478521096493908
2020-02-10,125999934.68156005,6.060261670187633,6.449238257851799,52.80894002672511,5.804311423108176
2020-02-11,125999928.70632808,6.420646201990027,6.832754283082562,58.040271445516034,6.149475375259005
2020-02-12,125999922.37576814,6.8024615787066365,7.2390765832678605,63.582693708451814,6.515164911171366
2020-02-13,125999915.66875027,7.206982181341763,7.669561354669041,69.45470621789033,6.902600599318609
2020-02-14,125999908.56288797,7.635558058760442,8.125645551843759,75.67590846789336,7.31307568961965
2020-02-15,125999901.03446342,8.089619728636123,8.608851393114374,82.26706549705534,7.747960168234385
2020-02-16,125999893.05834702,8.57068280594878,9.120791767247896,89.25017846720722,8.208705623433477
2020-02-17,125999884.60791856,9.080352789019166,9.663175233318759,96.64855348979019,8.696849745316143
2020-02-18,125999875.65497273,9.620330776936221,10.237812083530198,104.4868844788716,9.214021782169874
2020-02-19,125999866.16962509,10.192419137828093,10.846620377781838,112.79133546077864,9.761947971380286
2020-02-20,125999856.12021577,10.798527307575197,11.491632127608312,121.58962485283621,10.342457104750688
2020-02-21,125999845.47320528,11.440678074615215,12.174999984823904,130.9111167109974,10.957486548029204
2020-02-22,125999834.19305392,12.121014885691013,12.89900494709189,140.78692631195034,11.609089175635432
2020-02-23,125999822.24211226,12.841808446891486,13.666063378228882,151.25001596010293,12.299439688616282
2020-02-24,125999809.58049078,13.605464472138655,14.478735510287237,162.33530928843103,13.030842266160585
2020-02-25,125999796.16593137,14.414531368719528,15.33973372821297,174.07980358861383,13.805738021389264
2020-02-26,125999781.9536575,15.271709970669036,16.251931499991258,186.5227010869723,14.626713038033403
2020-02-27,125999766.89623316,16.17986091577627,17.218373555453482,199.705532430997,15.496507530852888
2020-02-28,125999750.94339919,17.142015343570073,18.242285558435746,213.6722999729796,16.418024550009083
2020-02-29,125999734.04191856,18.161383963725246,19.327084296808106,228.46961323781576,17.394339151454012
2020-03-01,125999716.13537234,19.241369377168372,20.476390760682342,244.1468675843937,18.428710166592403
2020-03-02,125999697.16399664,20.38557584770608,21.694040658909145,260.75638692317347,19.524589666328446
2020-03-03,125999677.06447275,21.59782209084938,22.98409775342102,278.35360747727066,20.685634961066587
2020-03-04,125999655.76971608,22.88215396676988,24.350867436587713,296.997262584294,21.915720819314576
2020-03-05,125999633.20865192,24.242857515807053,25.798911606435045,316.7495790414929,23.21895285423749
2020-03-06,125999609.30598131,25.684473681114834,27.33306307335852,337.67648202814115,24.599680488420844
2020-03-07,125999583.9819268,27.211814444897357,28.958441072685062,359.84781775640664,26.062510913739
2020-03-08,125999557.15196839,28.82997684821314,30.68047011760076,383.3375847389532,27.61232605737068
2020-03-09,125999528.72655457,30.54436091618222,32.50489800726607,408.2241865934189,29.254298787287485
2020-03-10,125999498.61082244,32.36068765224521,34.43781269532637,434.5906773261059,30.993908091889562
2020-03-11,125999466.70426208,34.285018436877415,36.4856646257131,462.5250549632504,32.836959179931505
2020-03-12,125999432.90037875,36.32377548818538,38.6552883397247,492.1205575385865,34.78960292432811
2020-03-13,125999397.08635323,38.483762391262985,40.953924186482084,523.4759603075964,36.85835539869259
2020-03-14,125999359.14266817,40.77218671920313,43.38924221160308,556.6959030071401,39.05011937391425
2020-03-15,125999318.94267994,43.19668542134938,45.96937003994112,591.8912647079865,41.372209408975834
2020-03-16,125999276.35222852,45.765348129971635,48.70291810375284,629.1795053557823,43.83237455224792
2020-03-17,125999231.22917475,48.48674657322196,51.59900781242401,668.6850709936386,46.438823689668624
2020-03-18,125999183.42292765,51.36996345577924,54.66730146631719,710.5398075310825,49.200252462078446
2020-03-19,125999132.77394406,54.424617520847264,57.918039470426976,754.8833990353316,52.12587675172044
2020-03-20,125999079.11319213,57.660901877017984,61.36206873528532,801.8638373711896,55.225458236616774
2020-03-21,125999022.2615865,61.08961549453424,65.01088143185116,851.6379166688771,58.50933926269411
2020-03-22,125998962.02943115,64.72219689931764,68.87665063775212,904.3717214226012,61.98847491728946
2020-03-23,125998898.21569486,68.57076794622076,72.97227665657881,960.2412606395494,65.67447470728429
2020-03-24,125998830.60743047,72.64816878684903,77.31142430542315,1019.4329765474989,69.57963610770138
2020-03-25,125998758.97902443,76.96800318296637,81.90857092457098,1082.1444015839572,73.71698775886676
2020-03-26,125998683.09146795,81.54468235551184,86.77905317843248,1148.5847966391102,78.10033157433541
2020-03-27,125998602.69150548,86.39347603194979,91.93912190647399,1218.9758966982877,82.74429209214074
2020-03-28,125998517.5108555,91.5305592958338,97.40599216719106,1293.5525931505952,87.66436149814339
2020-03-29,125998427.26527302,96.97306994844331,103.19790244671952,1372.5637547027652,92.87695289544094
2020-03-30,125998331.65365802,102.7391633130035,109.33417070427919,1456.2730080760691,98.39945072482449
2020-03-31,125998230.3569492,108.84807395240954,115.83527019664339,1544.9597067834584,104.25027898354377
2020-04-01,125998123.03718989,115.32017673232521,122.7228845157276,1638.9197489991443,110.44895073351066
2020-04-02,125998009.33620007,122.17706436023343,130.01999515099925,1738.4667405507143,117.01614687805923
2020-04-03,125997888.87470162,129.44160272046517,137.75093484143156,1843.9327609504028,123.97376414669256
2020-04-04,125997761.2508088,137.13801881221335,145.94148726209426,1955.6696852536763,131.34500477598075
2020-04-05,125997626.03865239,145.29198337332517,154.61897538201632,2074.050388983526,139.15445599044924
2020-04-06,125997482.78715257,153.93068843909475,163.81233634811744,2199.469822782058,147.42815735246555
2020-04-07,125997331.01839,163.082942240122,173.55222897548313,2332.3464389326537,156.1936974514526
2020-04-08,125997170.22606449,172.77925836027273,183.8711360537689,2473.123541248214,165.48030592161848
2020-04-09,125996999.87376781,183.05197521591478,194.8034593963921,2622.270797735476,175.3189389212625
2020-04-10,125996819.39324537,193.93533503786173,206.38565672817583,2780.2857630144445,185.7424022581165
2020-04-11,125996628.18245228,205.4656247882777,218.65634215473332,2947.6955809151677,196.78544173003573
2020-04-12,125996425.60358357,217.68127994249312,231.65642692189454,3125.058709695685,208.48486971611771
2020-04-13,125996210.98093958,230.62302436297483,245.42924451043143,3312.9667916870744,220.87967765877806
2020-04-14,125995983.59868379,244.33398971196877,260.02070948220506,3512.046617153722,234.01117890884308
2020-04-15,125995742.69845326,258.859873852844,275.4794555980158,3722.9622174318633,247.92313290169702
2020-04-16,125995487.47683848,274.24908577770896,291.8570035225047,3946.4170723504403,262.6618959453382
2020-04-17,125995217.0827152,290.5529026804822,309.207934703478,4183.156447561406,278.27657754759093
2020-04-18,125994930.61440235,307.82564825191344,327.59006548926084,4433.969884046233,294.8191969377639
2020-04-19,125994627.1166741,326.12486673983125,347.064643518765,4699.69381578316,312.3448596109159
2020-04-20,125994305.57757978,345.5115150679698,367.6965497381451,4981.21435556097,330.91193891092587
2020-04-21,125993964.92508222,366.0501649573275,389.55451283088536,5279.470240132801,350.5822687573005
2020-04-22,125993604.02348669,387.8092168892983,412.7113376249437,5595.455958934754,371.42134891943346
2020-04-23,125993221.66970621,410.8611244211764,437.2441432713995,5930.225026238698,393.4985590498158
2020-04-24,125992816.58921586,435.2826349305845,463.23462335452024,6284.893525992745,416.8873924148611
2020-04-25,125992387.43182287,461.15504589033054,490.7693131063467,6660.64381827436,441.66569597531725
2020-04-26,125991932.76723295,488.5644742785034,519.9398684869348,7058.728424424087,467.9159210957845
2020-04-27,125991451.08027215,517.6021286278439,550.8433850364055,7480.474214308815,495.72540999075574
2020-04-28,125990940.76587102,548.3646146557988,583.5827122942541,7927.2868021599215,525.1866781189408
2020-04-29,125990400.12369116,580.9542770399323,618.2667759894122,8400.655255947377,556.3977035006469
2020-04-30,125989827.35254282,615.4795051805654,655.0109617411953,8902.156990403302,589.4622713128302
2020-05-01,125989220.54470342,652.0550852304655,693.9374642439359,9433.462747247,624.4902873347249
2020-05-02,125988577.678805,690.8026246407009,735.1757407903307,9996.34282972199,661.5981851866827
2020-05-03,125987896.61395589,731.8509019109921,778.862885860902,10592.67225647611,700.9092624306475
2020-05-04,125987175.08236462,775.3363060373788,825.1441010961862,11224.437228389388,742.5541023784684
2020-05-05,125986410.68185557,821.4032866138301,874.1731669947462,11893.74169096769,786.670997314703
2020-05-06,125985600.86768173,870.2048418455809,926.1129627659166,12602.814513806403,833.4064148958068
2020-05-07,125984742.94455817,921.902982192847,981.1359825305395,13354.016477237568,882.9154610911896
2020-05-08,125983834.05753316,976.6692669936164,1039.42492091649,14149.848279079275,935.3624053714829
2020-05-09,125982871.18257831,1034.6854172361175,1101.1732161072375,14992.958788503824,990.9211673895968
2020-05-10,125981851.1166455,1096.1438359250712,1166.5857496463661,15886.15376909614,1049.7759444767769
2020-05-11,125980770.46701242,1161.2482798883752,1235.8794812595702,16832.40522660913,1112.121780381802
2020-05-12,125979625.64041227,1230.2144947680206,1309.2841452451635,17834.860947904945,1178.1651891065203
2020-05-13,125978412.83134453,1303.2709073370015,1387.042988648127,18896.854759670867,1248.1248159909692
2020-05-14,125977128.00844721,1380.6594328294007,1469.4136314152558,20021.91848873297,1322.2322081582643
2020-05-15,125975766.90263018,1462.6361743445198,1556.6688142474577,21213.792381405576,1400.7324834873675
2020-05-16,125974324.99268009,1549.4722733886435,1649.0973051946403,22476.437741500067,1483.8851419224468
2020-05-17,125972797.4902382,1641.4547952578,1747.004844194679,23814.05012253777,1571.9649103728675
2020-05-18,125971179.3238434,1738.8876663068108,1850.7151474321515,25231.07334304051,1665.2626408180631
2020-05-19,125969465.12317207,1842.092597833177,1960.5708978571126,26732.213332404015,1764.086195279412
2020-05-20,125967649.2010383,1951.410146271848,2076.9348689708263,28322.45394663891,1868.7614499137248
2020-05-21,125965725.53490502,2067.2008056764153,2200.19107183459,30007.073217638368,1979.6333191361746
2020-05-22,125963687.74734402,2189.8461457136395,2330.7459797666897,31791.660530660018,2097.066848669348
2020-05-23,125961529.08533494,2319.749980927931,2469.0298576957584,33682.1348265889,2221.4484016621764
