date,new_confirmed,new_confirmed_smooth
2020-01-25,0,0.5714285714285714
2020-01-26,0,0.5714285714285714
2020-01-27,1,0.5714285714285714
2020-01-28,3,0.7142857142857143
2020-01-29,0,1.1428571428571428
2020-01-30,0,1.4285714285714286
2020-01-31,1,1.5714285714285714
2020-02-01,3,1.1428571428571428
2020-02-02,2,1.1428571428571428
2020-02-03,2,1.1428571428571428
2020-02-04,0,1.1428571428571428
2020-02-05,0,0.7142857142857143
2020-02-06,0,0.5714285714285714
2020-02-07,1,0.2857142857142857
2020-02-08,0,0.5714285714285714
2020-02-09,1,0.5714285714285714
2020-02-10,0,0.5714285714285714
2020-02-11,2,0.42857142857142855
2020-02-12,0,0.42857142857142855
2020-02-13,0,0.2857142857142857
2020-02-14,0,0.2857142857142857
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.7142857142857143
2020-02-24,0,1.4285714285714286
2020-02-25,0,5.285714285714286
2020-02-26,5,7.142857142857143
2020-02-27,5,14.428571428571429
2020-02-28,27,19.142857142857142
2020-02-29,13,24.571428571428573
2020-03-01,51,34.42857142857143
2020-03-02,33,53.42857142857143
2020-03-03,38,83.71428571428571
2020-03-04,74,104.14285714285714
2020-03-05,138,112.14285714285714
2020-03-06,239,141.28571428571428
2020-03-07,156,158.28571428571428
2020-03-08,107,186.42857142857142
2020-03-09,237,281.2857142857143
2020-03-10,157,346.14285714285717
2020-03-11,271,428.57142857142856
2020-03-12,802,562.2857142857143
2020-03-13,693,696.1428571428571
2020-03-14,733,837.1428571428571
2020-03-15,1043,947.2857142857143
2020-03-16,1174,1232.857142857143
2020-03-17,1144,1556.4285714285713
2020-03-18,1042,1838.142857142857
2020-03-19,2801,1967.4285714285713
2020-03-20,2958,2380.0
2020-03-21,2705,2897.1428571428573
2020-03-22,1948,3336.5714285714284
2020-03-23,4062,3644.1428571428573
2020-03-24,4764,4047.285714285714
2020-03-25,4118,4560.0
2020-03-26,4954,4848.142857142857
2020-03-27,5780,4946.571428571428
2020-03-28,6294,4925.285714285715
2020-03-29,3965,5116.0
2020-03-30,4751,5287.714285714285
2020-03-31,4615,5344.0
2020-04-01,5453,5313.714285714285
2020-04-02,6156,5595.285714285715
2020-04-03,6174,5441.857142857143
2020-04-04,6082,5330.285714285715
2020-04-05,5936,5123.142857142857
2020-04-06,3677,4954.285714285715
2020-04-07,3834,4832.714285714285
2020-04-08,4003,4554.285714285715
2020-04-09,4974,4109.285714285715
2020-04-10,5323,3946.4285714285716
2020-04-11,4133,3696.1428571428573
2020-04-12,2821,3479.4285714285716
2020-04-13,2537,3178.285714285714
2020-04-14,2082,2900.714285714286
2020-04-15,2486,2825.8571428571427
2020-04-16,2866,2774.0
2020-04-17,3380,2665.1428571428573
2020-04-18,3609,2622.714285714286
2020-04-19,2458,2587.1428571428573
2020-04-20,1775,2513.714285714286
2020-04-21,1785,2364.714285714286
2020-04-22,2237,2142.714285714286
2020-04-23,2352,2039.7142857142858
2020-04-24,2337,1931.5714285714287
2020-04-25,2055,1840.0
2020-04-26,1737,1706.7142857142858
2020-04-27,1018,1581.857142857143
2020-04-28,1144,1482.142857142857
2020-04-29,1304,1323.5714285714287
2020-04-30,1478,1188.7142857142858
2020-05-01,1639,1140.2857142857142
2020-05-02,945,1074.7142857142858
2020-05-03,793,1023.7142857142857
2020-05-04,679,996.0
2020-05-05,685,934.5714285714286
2020-05-06,947,978.2857142857143
2020-05-07,1284,960.2857142857143
2020-05-08,1209,914.2857142857143
