date,new_confirmed,new_confirmed_smooth
2020-01-25,0,0.5714285714285714
2020-01-26,3,0.7142857142857143
2020-01-27,0,0.7142857142857143
2020-01-28,0,0.8571428571428571
2020-01-29,1,0.8571428571428571
2020-01-30,0,0.42857142857142855
2020-01-31,2,0.8571428571428571
2020-02-01,0,0.8571428571428571
2020-02-02,0,0.7142857142857143
2020-02-03,3,0.8571428571428571
2020-02-04,0,0.5714285714285714
2020-02-05,0,0.5714285714285714
2020-02-06,1,0.5714285714285714
2020-02-07,0,0.14285714285714285
2020-02-08,0,0.2857142857142857
2020-02-09,0,0.2857142857142857
2020-02-10,0,0.2857142857142857
2020-02-11,1,0.2857142857142857
2020-02-12,0,0.2857142857142857
2020-02-13,1,0.2857142857142857
2020-02-14,0,0.2857142857142857
2020-02-15,0,0.14285714285714285
2020-02-16,0,0.14285714285714285
2020-02-17,0,0.0
2020-02-18,0,0.2857142857142857
2020-02-19,0,0.2857142857142857
2020-02-20,0,0.2857142857142857
2020-02-21,2,0.2857142857142857
2020-02-22,0,0.2857142857142857
2020-02-23,0,0.2857142857142857
2020-02-24,0,0.42857142857142855
2020-02-25,0,0.14285714285714285
2020-02-26,0,1.2857142857142858
2020-02-27,1,2.2857142857142856
2020-02-28,0,5.571428571428571
2020-02-29,8,8.285714285714286
2020-03-01,7,13.0
2020-03-02,23,23.857142857142858
2020-03-03,19,31.428571428571427
2020-03-04,33,54.0
2020-03-05,77,69.57142857142857
2020-03-06,53,77.0
2020-03-07,166,101.14285714285714
2020-03-08,116,148.57142857142858
2020-03-09,75,200.28571428571428
2020-03-10,188,283.14285714285717
2020-03-11,365,367.85714285714283
2020-03-12,439,384.7142857142857
2020-03-13,633,583.5714285714286
2020-03-14,759,818.5714285714286
2020-03-15,234,1146.0
2020-03-16,1467,1725.2857142857142
2020-03-17,1833,2544.4285714285716
2020-03-18,2657,3292.4285714285716
2020-03-19,4494,4533.142857142857
2020-03-20,6367,5916.714285714285
2020-03-21,5995,7171.714285714285
2020-03-22,8919,8524.57142857143
2020-03-23,11152,10428.42857142857
2020-03-24,10618,12174.714285714286
2020-03-25,12127,14484.57142857143
2020-03-26,17821,15514.285714285714
2020-03-27,18591,17086.0
2020-03-28,22164,19337.85714285714
2020-03-29,16127,22723.14285714286
2020-03-30,22154,24788.714285714286
2020-03-31,26381,26768.14285714286
2020-04-01,35824,28131.85714285714
2020-04-02,32280,29939.0
2020-04-03,32447,31344.571428571428
2020-04-04,31710,31882.428571428572
